CustomerID,Recency,Frequency,Monetary,R,F,M,Cluster,RFM,Segment
12680,1,15,249.44999999999996,3,2,3,0,323,Potential Loyalist
12747,3,25,948.7,3,3,3,3,333,Loyal Customers
12748,1,888,7046.159999999976,3,3,3,3,333,Loyal Customers
12749,4,37,813.4499999999999,3,3,3,3,333,Loyal Customers
12820,4,17,268.02000000000004,3,3,3,3,333,Loyal Customers
12822,71,9,146.15,2,2,2,1,222,Need Attention
12823,297,1,306.0,1,1,3,2,113,At Risk
12824,60,6,106.38000000000001,2,2,2,1,222,Need Attention
12826,3,16,272.66,3,3,3,3,333,Loyal Customers
12827,33,2,44.550000000000004,2,1,1,2,211,At Risk
12828,8,12,195.4,3,2,2,0,322,Potential Loyalist
12829,337,2,95.80000000000001,1,1,2,2,112,At Risk
12830,92,10,1727.92,1,2,3,1,123,Need Attention
12832,33,5,67.39999999999999,2,1,1,0,211,Potential Loyalist
12833,146,5,87.0,1,1,2,1,112,Need Attention
12834,283,9,161.00000000000003,1,2,2,1,122,Need Attention
12836,60,34,585.5300000000001,2,3,3,3,233,Loyal Customers
12837,174,2,10.55,1,1,1,2,111,At Risk
12838,34,17,62.11,2,3,1,0,231,Potential Loyalist
12839,3,54,947.6299999999998,3,3,3,3,333,Loyal Customers
12840,144,19,459.65999999999997,1,3,3,1,133,Need Attention
12841,5,70,630.95,3,3,3,3,333,Loyal Customers
12842,71,8,224.54000000000002,2,2,2,1,222,Need Attention
12843,160,22,385.54999999999995,1,3,3,1,133,Need Attention
12844,30,7,38.05,2,2,1,0,221,Potential Loyalist
12845,269,4,221.1,1,1,2,1,112,Need Attention
12847,23,14,123.20999999999998,3,2,2,0,322,Potential Loyalist
12849,32,15,266.75,2,2,3,0,223,Potential Loyalist
12851,97,13,29.570000000000004,1,2,1,1,121,Need Attention
12852,295,2,32.550000000000004,1,1,1,2,111,At Risk
12853,135,12,234.48000000000002,1,2,2,1,122,Need Attention
12854,79,21,319.01000000000005,2,3,3,1,233,Need Attention
12856,8,64,402.4800000000001,3,3,3,3,333,Loyal Customers
12857,211,11,283.85,1,2,3,1,123,Need Attention
12863,53,1,34.8,2,1,1,2,211,At Risk
12864,139,1,17.4,1,1,1,2,111,At Risk
12867,27,105,749.2899999999997,3,3,3,3,333,Loyal Customers
12868,186,16,177.30999999999997,1,3,2,1,132,Need Attention
12871,85,5,70.74000000000001,2,1,1,1,211,Need Attention
12872,327,6,73.4,1,2,1,1,121,Need Attention
12873,283,1,102.0,1,1,2,2,112,At Risk
12877,4,33,232.71,3,3,2,3,332,Loyal Customers
12878,237,8,174.3,1,2,2,1,122,Need Attention
